lat	long	q	age	q(t)	sqrt age	d(t)	q(t)
49.7	-124.53	34.9	7.3612161	0.83411	2.713156114	3788.212818	4.164891191
50.02	-126.78	53	6.2185445	1.2667	2.493700964	3588.245288	4.531417424
50	-126.8	42.1	6.2185445	1.00619	2.493700964	3588.245288	4.531417424
50	-126.8	43.6	6.2185445	1.04204	2.493700964	3588.245288	4.531417424
50	-126.8	39.2	6.2185445	0.93688	2.493700964	3588.245288	4.531417424
50.02	-126.78	39.3	6.2185445	0.93927	2.493700964	3588.245288	4.531417424
47.51	-121.35	57	9.7773581	1.3623	3.126876732	4211.037668	3.613829699
47.51	-121.35	57	9.7773581	1.3623	3.126876732	4211.037668	3.613829699
47.68	-121.65	60	9.7773581	1.434	3.126876732	4211.037668	3.613829699
47.68	-121.65	60	9.7773581	1.434	3.126876732	4211.037668	3.613829699
47.49	-121.4	56	9.7773581	1.3384	3.126876732	4211.037668	3.613829699
42.2	-121.83	67	8.7200031	1.6013	2.952965137	4026.000543	3.826662177
48.46	-122.63	37	9.2849312	0.8843	3.047118508	4124.86296	3.70842157
48.72	-119.59	75	9.57864	1.7925	3.094937802	4176.262	3.651123454
46.35	-122.11	69	9.543684	1.6491	3.089285354	4170.1447	3.657803894
46.36	-122.07	68	9.543684	1.6252	3.089285354	4170.1447	3.657803894
49	-119.49	70	9.57864	1.673	3.094937802	4176.262	3.651123454
48.61	-120.38	76	9.57864	1.8164	3.094937802	4176.262	3.651123454
48.61	-120.39	73	9.57864	1.7447	3.094937802	4176.262	3.651123454
46.85	-124.1	38	9.7773581	0.9082	3.126876732	4211.037668	3.613829699
47.24	-124.19	35	9.8133631	0.8365	3.132628784	4217.338543	3.607194078
42.16	-120.34	742	8.7200031	17.7338	2.952965137	4026.000543	3.826662177
42.19	-120.33	180	8.7200031	4.302	2.952965137	4026.000543	3.826662177
42.19	-120.34	140	8.7200031	3.346	2.952965137	4026.000543	3.826662177
42.2	-120.35	98	8.7200031	2.3422	2.952965137	4026.000543	3.826662177
42.22	-120.35	2861	8.7200031	68.3779	2.952965137	4026.000543	3.826662177
42.22	-120.34	309	8.7200031	7.3851	2.952965137	4026.000543	3.826662177
42.17	-120.34	110	8.7200031	2.629	2.952965137	4026.000543	3.826662177
42.22	-120.36	991	8.7200031	23.6849	2.952965137	4026.000543	3.826662177
42.22	-120.36	117	8.7200031	2.7963	2.952965137	4026.000543	3.826662177
42.19	-120.34	150	8.7200031	3.585	2.952965137	4026.000543	3.826662177
42.19	-120.35	124	8.7200031	2.9636	2.952965137	4026.000543	3.826662177
42.18	-120.35	124	8.7200031	2.9636	2.952965137	4026.000543	3.826662177
42.18	-120.34	189	8.7200031	4.5171	2.952965137	4026.000543	3.826662177
42.22	-120.36	2882	8.7200031	68.8798	2.952965137	4026.000543	3.826662177
42.21	-120.36	158	8.7200031	3.7762	2.952965137	4026.000543	3.826662177
44.27	-120.81	66	9.8749847	1.5774	3.142448838	4228.122323	3.59592171
42.04	-120.3	571	18.00329	13.6469	4.2430284	5650.57575	2.663192167
42.21	-120.36	1895	8.7200031	45.2905	2.952965137	4026.000543	3.826662177
42.24	-120.36	840	8.7200031	20.076	2.952965137	4026.000543	3.826662177
42.23	-120.37	531	8.7200031	12.6909	2.952965137	4026.000543	3.826662177
42.02	-120.3	90	18.00329	2.151	4.2430284	5650.57575	2.663192167
42.19	-120.38	76	8.7200031	1.8164	2.952965137	4026.000543	3.826662177
45.43	-121.46	48	9.5483627	1.1472	3.090042508	4170.963473	3.656907622
45.61	-122	71	9.5370016	1.6969	3.08820362	4168.97528	3.659085148
45.34	-121.36	62	9.5414743	1.4818	3.088927694	4169.758003	3.658227423
43.96	-123.11	50	9.5827484	1.195	3.09560146	4176.98097	3.6503407
45.12	-120.85	59	9.68153	1.4101	3.111515708	4194.26775	3.631670562
44.6	-122.06	76	9.8749847	1.8164	3.142448838	4228.122323	3.59592171
44.6	-122.06	110	9.8749847	2.629	3.142448838	4228.122323	3.59592171
45.44	-121.16	41	9.5483627	0.9799	3.090042508	4170.963473	3.656907622
45.54	-122.58	47	9.5407829	1.1233	3.088815776	4169.637008	3.658359973
45.66	-121.33	55	9.5560369	1.3145	3.091284021	4172.306458	3.655438945
45.25	-121.12	90	9.5008411	2.151	3.082343443	4162.647193	3.666041831
42.41	-120.48	58	8.7200031	1.3862	2.952965137	4026.000543	3.826662177
45.69	-121.35	33	9.5560369	0.7887	3.091284021	4172.306458	3.655438945
45.18	-121.07	95	9.5008411	2.2705	3.082343443	4162.647193	3.666041831
45.84	-119.67	112	9.544672	2.6768	3.089445258	4170.3176	3.657614574
45.32	-122.87	47	9.5414743	1.1233	3.088927694	4169.758003	3.658227423
45.63	-121.36	65	9.5370016	1.5535	3.08820362	4168.97528	3.659085148
44.78	-121.03	69	9.8749847	1.6491	3.142448838	4228.122323	3.59592171
45.43	-120.93	60	9.5483627	1.434	3.090042508	4170.963473	3.656907622
42.06	-122.65	52	8.7200031	1.2428	2.952965137	4026.000543	3.826662177
45.9	-119.22	41	9.5405912	0.9799	3.088784745	4169.60346	3.658396727
45.6	-121.14	46	9.5370016	1.0994	3.08820362	4168.97528	3.659085148
45.36	-121.28	94	9.5483627	2.2466	3.090042508	4170.963473	3.656907622
45.38	-122.59	33	9.5483627	0.7887	3.090042508	4170.963473	3.656907622
45.6	-119.6	58	9.5370016	1.3862	3.08820362	4168.97528	3.659085148
45.65	-121.47	41	9.5370016	0.9799	3.08820362	4168.97528	3.659085148
45.7	-123.13	41	9.5560369	0.9799	3.091284021	4172.306458	3.655438945
42.19	-122.64	31	8.7200031	0.7409	2.952965137	4026.000543	3.826662177
45.7	-121.35	77	9.5560369	1.8403	3.091284021	4172.306458	3.655438945
42.48	-123.4	33	8.1746902	0.7887	2.859141515	3930.570785	3.952235293
45.61	-121.23	71	9.5370016	1.6969	3.08820362	4168.97528	3.659085148
