lat,lon,q,age
39.99,-119.29,72.8,16.215477
39.99,-119.03,294.8,16.215477
39.99,-119.02,294.8,16.215477
39.99,-119.01,262.1,16.215477
40.0,-119.17,136.5,16.215477
40.0,-119.05,318.5,16.215477
44.31,-122.12,108.8,9.8749847
46.74,-121.51,118.8,9.7773581
46.71,-121.48,42.3,9.7773581
46.71,-121.55,45.2,9.7773581
44.16,-122.25,66.9,9.8749847
46.68,-121.45,156.9,9.7773581
46.66,-121.51,66.9,9.7773581
46.67,-121.57,41.4,9.7773581
38.76,-119.15,351.6,16.215477
40.41,-119.4,356.7,16.524179
40.39,-119.4,2918.0,16.524179
45.45,-121.16,42.0,9.5407829
40.39,-119.4,1397.6,16.524179
40.4,-119.4,5446.4,16.524179
40.41,-119.41,8420.4,16.524179
40.41,-119.4,3670.4,16.524179
40.41,-119.39,1563.7,16.524179
40.46,-119.42,131.0,16.524179
40.45,-119.42,127.4,16.524179
43.55,-119.95,203.8,9.5357075
43.55,-119.95,171.0,9.5357075
43.74,-121.29,120.4,9.5827484
43.74,-121.29,208.6,9.5827484
38.94,-122.97,92.0,17.939177
38.78,-122.7,502.0,17.580811
38.78,-122.7,658.0,17.580811
38.79,-122.7,402.0,17.580811
38.79,-122.7,367.0,17.580811
38.78,-122.69,372.0,17.580811
38.78,-122.69,367.1,17.580811
38.86,-122.89,155.0,17.834578
38.87,-122.87,84.0,17.834578
38.89,-122.92,156.0,17.834578
38.88,-122.95,156.0,17.834578
38.87,-122.9,151.0,17.834578
38.87,-122.9,145.0,17.834578
38.85,-122.92,163.0,17.834578
38.85,-122.92,172.5,17.834578
38.86,-122.9,234.0,17.834578
38.87,-122.92,133.0,17.834578
38.92,-122.95,117.0,17.834578
38.9,-122.91,92.0,17.834578
38.92,-122.8,42.0,17.834578
38.9,-122.8,96.0,17.834578
38.8,-122.68,113.0,17.580811
40.44,-119.41,149.2,16.524179
40.44,-119.41,262.0,16.524179
40.44,-119.41,152.8,16.524179
40.44,-119.41,152.8,16.524179
40.44,-119.42,127.4,16.524179
40.36,-119.39,211.0,16.524179
40.43,-119.41,127.4,16.524179
40.43,-119.4,229.2,16.524179
40.44,-119.39,116.4,16.524179
40.45,-119.4,102.0,16.524179
40.44,-119.4,206.3,16.524179
40.45,-119.4,150.7,16.524179
40.46,-119.41,222.0,16.524179
40.34,-119.39,178.4,16.524179
39.72,-119.02,76.4,16.215477
40.34,-119.43,189.2,16.524179
40.38,-119.4,1674.4,16.524179
40.41,-119.43,75.7,16.524179
40.42,-119.43,98.2,16.524179
40.42,-119.41,258.4,16.524179
40.44,-119.43,100.0,16.524179
40.35,-119.42,203.8,16.524179
40.39,-119.41,1820.0,16.524179
40.36,-119.42,455.0,16.524179
40.36,-119.43,167.0,16.524179
40.38,-119.44,1528.8,16.524179
40.39,-119.44,1019.2,16.524179
