lat,lon,age,q_ihfc,q_ps,q_stein,FA,ps_z,stein_z,z
48.15,-126.62,5.9089842,112.0,194.6275181,209.8039989,-45.47949982,3350.794079,3487.256682,-2511.0
48.12,-126.67,5.7152658,127.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2523.0
48.11,-126.69,5.7152658,118.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2524.0
48.1,-126.73,5.7152658,141.0,197.8984727,213.3300129,-42.68918228,3336.731773,3472.591706,-2518.0
48.09,-126.75,5.4567189,136.0,202.5325674,218.3254606,-42.68918228,3317.586733,3452.626164,-2517.0
47.93,-128.85,0.66285837,166.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2437.0
47.92,-128.84,0.66285837,149.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2584.0
47.92,-128.83,0.66285837,113.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2586.0
47.92,-128.82,0.66285837,111.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2588.0
47.92,-128.81,0.66285837,98.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2590.0
47.91,-128.81,0.66285837,88.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2590.0
47.91,-128.8,0.66285837,96.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2594.0
47.91,-128.79,0.66285837,131.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2603.0
47.9,-128.78,0.66285837,166.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2608.0
47.88,-128.73,0.91232389,247.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2631.0
47.88,-128.72,0.91232389,228.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2639.0
47.88,-128.71,0.91232389,249.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2641.0
47.87,-128.71,0.91232389,260.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2644.0
47.87,-128.7,0.91232389,290.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2648.0
47.87,-128.69,0.91232389,357.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2646.0
47.86,-128.68,0.91232389,273.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2648.0
47.86,-128.67,0.91232389,290.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2632.0
47.86,-128.66,0.91232389,333.0,495.3203091,533.9439284,-8.577288628,2834.304766,2948.632113,-2626.0
47.85,-128.64,1.1679138,334.0,437.7793418,471.9160858,-8.577288628,2878.245212,2994.455721,-2612.0
47.85,-128.63,1.1679138,275.0,437.7793418,471.9160858,-8.577288628,2878.245212,2994.455721,-2610.0
47.96,-128.81,0.50150979,358.0,668.068433,720.1624423,-5.608677864,2747.860746,2858.483349,-2588.0
47.95,-128.81,0.50150979,390.0,668.068433,720.1624423,-10.49689579,2747.860746,2858.483349,-2587.0
47.94,-128.81,0.66285837,364.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2589.0
47.93,-128.83,0.66285837,304.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2585.0
47.93,-128.82,0.66285837,112.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2587.0
47.91,-128.82,0.66285837,113.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2587.0
47.9,-128.83,0.66285837,110.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2587.0
47.89,-128.83,0.66285837,139.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2588.0
47.88,-128.83,0.66285837,114.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2592.0
47.87,-128.83,0.66285837,119.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2562.0
47.87,-128.84,0.66285837,125.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2566.0
47.86,-128.84,0.66285837,265.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2552.0
47.99,-128.79,0.50150979,208.0,668.068433,720.1624423,-5.608677864,2747.860746,2858.483349,-2592.0
47.99,-128.8,0.50150979,170.0,668.068433,720.1624423,-5.608677864,2747.860746,2858.483349,-2580.0
47.98,-128.8,0.50150979,172.0,668.068433,720.1624423,-5.608677864,2747.860746,2858.483349,-2590.0
47.97,-128.81,0.50150979,177.0,668.068433,720.1624423,-5.608677864,2747.860746,2858.483349,-2586.0
47.97,-128.83,0.50150979,131.0,668.068433,720.1624423,-5.608677864,2747.860746,2858.483349,-2421.0
47.96,-128.82,0.50150979,139.0,668.068433,720.1624423,-5.608677864,2747.860746,2858.483349,-2543.0
47.94,-128.76,0.66285837,91.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2606.0
47.94,-128.77,0.66285837,106.0,581.0992123,626.4116178,-10.49689579,2784.956401,2897.168818,-2607.0
47.95,-128.78,0.50150979,111.0,668.068433,720.1624423,-10.49689579,2747.860746,2858.483349,-2606.0
47.95,-128.79,0.50150979,85.0,668.068433,720.1624423,-10.49689579,2747.860746,2858.483349,-2599.0
47.95,-128.8,0.50150979,85.0,668.068433,720.1624423,-10.49689579,2747.860746,2858.483349,-2592.0
47.96,-128.83,0.50150979,92.0,668.068433,720.1624423,-5.608677864,2747.860746,2858.483349,-2408.0
47.82,-128.67,1.1115648,571.0,448.7384322,483.7297338,-12.46199608,2869.007707,2984.822323,-2682.0
47.83,-128.67,1.1115648,542.0,448.7384322,483.7297338,-12.46199608,2869.007707,2984.822323,-2673.0
