lat,lon,t,bath
44.78,-121.97,9.8749847,706.0
43.92,-120.82,9.8749847,1290.0
43.69,-120.48,9.5827484,1544.0
43.69,-120.48,9.5827484,1544.0
43.69,-120.48,9.5827484,1544.0
43.63,-120.46,9.5827484,1540.0
43.62,-120.47,9.5827484,1540.0
43.63,-120.46,9.5827484,1540.0
43.63,-120.46,9.5827484,1540.0
43.63,-120.46,9.5827484,1540.0
43.78,-120.62,9.5827484,1450.0
43.78,-120.62,9.5827484,1450.0
43.62,-120.47,9.5827484,1540.0
43.62,-120.47,9.5827484,1540.0
43.62,-120.47,9.5827484,1540.0
43.62,-120.47,9.5827484,1540.0
43.62,-120.47,9.5827484,1540.0
43.73,-121.36,9.5827484,1521.0
43.73,-121.36,9.5827484,1521.0
43.75,-120.94,9.5827484,1492.0
43.75,-120.94,9.5827484,1492.0
43.81,-120.99,9.5827484,1401.0
44.17,-122.29,9.8749847,498.0
44.45,-122.8,9.8749847,158.0
44.61,-122.77,9.8749847,178.0
44.54,-123.29,9.8749847,93.0
44.83,-122.25,9.8749847,772.0
44.95,-122.17,9.831625,686.0
44.95,-122.17,9.831625,686.0
45.04,-121.0,9.831625,928.0
43.8,-122.42,9.5827484,720.0
43.8,-122.42,9.5827484,720.0
44.86,-122.88,9.8163719,120.0
44.06,-122.79,9.8100004,184.0
44.15,-122.25,9.8749847,377.0
44.15,-122.25,9.8749847,377.0
44.8,-124.06,9.8749847,88.0
44.8,-124.07,9.8749847,29.0
44.04,-122.84,9.8100004,289.0
43.93,-122.91,9.5827484,234.0
44.8,-122.41,9.8749847,410.0
44.81,-122.41,9.8749847,340.0
44.39,-121.99,9.8749847,1013.0
44.39,-121.99,9.8749847,1013.0
44.54,-121.96,9.8749847,1255.0
43.76,-122.43,9.5827484,537.0
44.22,-120.99,9.8749847,1045.0
44.73,-122.18,9.8749847,563.0
44.77,-122.56,9.8749847,229.0
44.89,-122.71,9.8163719,302.0
44.89,-122.71,9.8163719,302.0
44.61,-123.3,9.8749847,232.0
44.59,-120.92,9.8749847,1019.0
44.04,-122.93,9.8100004,167.0
43.95,-122.9,9.5827484,208.0
43.91,-121.36,9.8749847,1372.0
44.49,-122.85,9.8749847,180.0
44.24,-120.97,9.8749847,972.0
44.24,-120.97,9.8749847,972.0
44.19,-121.05,9.8749847,1003.0
45.08,-120.96,9.68153,808.0
44.49,-122.86,9.8749847,228.0
45.01,-122.66,9.831625,292.0
45.01,-122.66,9.831625,292.0
44.81,-120.73,9.8749847,736.0
44.43,-122.72,9.8749847,391.0
44.4,-122.65,9.8749847,242.0
44.33,-122.99,9.8749847,263.0
45.01,-123.51,9.831625,283.0
43.8,-123.88,9.5827484,57.0
44.58,-122.84,9.8749847,109.0
44.98,-122.65,9.831625,222.0
44.19,-123.83,9.8100004,239.0
44.71,-123.03,9.8749847,66.0
44.71,-123.03,9.8749847,66.0
43.67,-122.45,9.5827484,714.0
43.96,-122.84,9.5827484,183.0
45.03,-121.96,9.831625,736.0
44.78,-121.95,9.8749847,743.0
44.78,-121.95,9.8749847,743.0
44.78,-122.04,9.8749847,693.0
44.83,-121.88,9.8749847,1107.0
45.02,-122.01,9.831625,652.0
45.0,-122.06,9.831625,554.0
44.2,-122.05,9.8749847,747.0
44.15,-122.08,9.8749847,820.0
44.72,-121.91,9.8749847,1384.0
43.95,-122.03,9.5827484,905.0
43.72,-122.33,9.5827484,583.0
43.64,-122.19,9.5827484,1004.0
44.07,-122.02,9.8749847,868.0
44.63,-121.94,9.8749847,767.0
44.02,-122.16,9.8749847,843.0
44.02,-122.16,9.8749847,843.0
44.45,-122.83,9.8749847,329.0
44.62,-122.72,9.8749847,212.0
44.62,-122.72,9.8749847,212.0
44.61,-121.11,9.8749847,717.0
44.16,-122.24,9.8749847,406.0
44.47,-122.91,9.8749847,374.0
45.05,-122.62,9.831625,316.0
45.05,-122.62,9.831625,316.0
44.44,-122.99,9.8749847,225.0
44.3,-122.12,9.8749847,1038.0
46.85,-122.26,9.7773581,383.0
46.31,-119.76,9.5389538,1130.0
46.31,-119.76,9.5389538,1130.0
46.63,-123.23,9.7773581,111.0
46.52,-122.46,9.6252508,210.0
46.89,-120.39,9.7773581,785.0
46.61,-119.12,9.7773581,1383.0
46.37,-119.29,9.543684,1262.0
46.36,-119.27,9.543684,1165.0
46.36,-119.27,9.543684,1165.0
46.43,-119.28,9.543684,1139.0
46.44,-119.4,9.543684,963.0
45.86,-120.67,9.5405912,473.0
47.07,-122.22,9.7773581,204.0
46.55,-122.31,9.6252508,331.0
46.78,-122.26,9.7773581,503.0
45.71,-121.46,9.5560369,25.0
45.71,-121.31,9.5560369,164.0
46.6,-120.35,9.7773581,1547.0
46.52,-120.01,9.6252508,1060.0
46.42,-120.12,9.543684,1177.0
46.42,-120.12,9.543684,1177.0
46.48,-120.26,9.6252508,1080.0
48.43,-119.52,9.7773581,1807.0
46.78,-120.67,9.7773581,1303.0
46.55,-120.67,9.6252508,1247.0
46.55,-120.67,9.6252508,1247.0
46.53,-120.2,9.6252508,959.0
46.27,-119.45,9.5389538,988.0
45.73,-121.8,9.5560369,139.0
46.53,-120.33,9.6252508,959.0
46.14,-119.63,9.5399418,916.0
46.25,-119.4,9.546627,1011.0
45.82,-121.13,9.544672,203.0
45.96,-119.88,9.5455904,776.0
47.71,-121.14,9.7773581,952.0
